ligacoes;entrada;computacao;entrada_saida;usuario;sistema
91;9753;1.093903;1.093908;1.089891;0.004012
95;6795;0.571868;0.571901;0.571868;0.000000
60;5089;0.326905;0.326946;0.326905;0.000000
56;5760;0.427412;0.427435;0.420916;0.006496
89;5471;0.414194;0.414376;0.414194;0.000000
45;9401;0.903739;0.903731;0.899734;0.004005
92;5715;0.427657;0.427662;0.427657;0.000000
126;7555;0.718032;0.718035;0.718032;0.000000
40;925;0.035214;0.035204;0.033097;0.002117
125;9844;1.181118;1.181202;1.177110;0.004008
97;8211;0.813149;0.813168;0.802678;0.010471
79;3418;0.178498;0.178955;0.174500;0.003998
39;1125;0.041714;0.041746;0.041714;0.000000
55;5264;0.323568;0.323607;0.323568;0.000000
106;4372;0.272642;0.272649;0.272642;0.000000
71;2364;0.098533;0.098534;0.098533;0.000000
17;1845;0.061525;0.061514;0.061525;0.000000
82;2128;0.084689;0.084708;0.084689;0.000000
33;3280;0.137665;0.137894;0.135191;0.002474
122;5544;0.435021;0.435026;0.435021;0.000000
19;588;0.019442;0.019529;0.017645;0.001797
19;2791;0.111621;0.111638;0.107583;0.004038
87;4450;0.276455;0.277960;0.276455;0.000000
123;9067;1.049008;1.049009;1.049008;0.000000
77;5859;0.378472;0.378475;0.378472;0.000000
64;3339;0.156996;0.157325;0.154877;0.002119
18;2304;0.084863;0.084852;0.084863;0.000000
27;999;0.040289;0.040278;0.038251;0.002038
53;3256;0.156172;0.156612;0.150065;0.006107
105;5143;0.323014;0.324002;0.320884;0.002130
34;1214;0.048400;0.048734;0.048400;0.000000
22;1461;0.027849;0.027858;0.027849;0.000000
111;8674;0.864758;0.864801;0.864758;0.000000
19;1459;0.056283;0.056331;0.054163;0.002120
135;8350;0.777644;0.777656;0.777644;0.000000
86;3977;0.212282;0.212380;0.210265;0.002017
146;8937;0.904558;0.904568;0.900550;0.004008
88;9771;0.993282;0.993296;0.989286;0.003996
84;3565;0.180266;0.181229;0.180266;0.000000
74;9981;0.953869;0.955674;0.953869;0.000000
155;8962;1.021054;1.022711;1.021054;0.000000
94;3265;0.165995;0.166017;0.165995;0.000000
82;4700;0.343251;0.343276;0.339241;0.004010
60;1287;0.038163;0.038160;0.038163;0.000000
35;9614;0.963766;0.963873;0.963766;0.000000
98;3776;0.206651;0.207781;0.206651;0.000000
58;1293;0.054434;0.054425;0.054434;0.000000
86;4758;0.289559;0.289564;0.289559;0.000000
31;2840;0.099348;0.100021;0.099348;0.000000
40;4303;0.235411;0.235433;0.235411;0.000000
