ligacoes;entrada;computacao;entrada_saida;usuario;sistema
29;8130;0.727222;0.727234;0.724728;0.002494
15;913;0.008231;0.008230;0.008231;0.000000
47;8029;0.713231;0.715395;0.713231;0.000000
13;9398;0.921935;0.923566;0.921935;0.000000
90;3066;0.125493;0.125491;0.125493;0.000000
67;8182;0.691366;0.693088;0.691366;0.000000
43;3075;0.137347;0.137368;0.137347;0.000000
147;7857;0.746177;0.746175;0.742185;0.003992
13;2844;0.083851;0.083856;0.083851;0.000000
30;5014;0.302996;0.303008;0.302996;0.000000
149;7848;0.741127;0.741146;0.741127;0.000000
82;9183;0.953024;0.953052;0.953024;0.000000
82;5057;0.279455;0.279478;0.279455;0.000000
12;150;0.000401;0.000397;0.000401;0.000000
34;574;0.016681;0.016722;0.014543;0.002138
77;7446;0.680463;0.680503;0.676458;0.004005
39;834;0.008825;0.008836;0.008825;0.000000
46;4367;0.237416;0.237430;0.237416;0.000000
49;2179;0.057369;0.057593;0.057369;0.000000
32;3699;0.145630;0.145629;0.145630;0.000000
137;8814;1.011003;1.011107;1.011003;0.000000
135;8400;0.850081;0.851501;0.850081;0.000000
28;1120;0.038369;0.038422;0.038369;0.000000
110;8302;0.894739;0.894843;0.894739;0.000000
11;4637;0.305716;0.309401;0.303581;0.002135
118;6557;0.551786;0.551783;0.549448;0.002338
101;2941;0.140835;0.140881;0.140835;0.000000
99;3527;0.190679;0.190670;0.190679;0.000000
67;4234;0.244064;0.244081;0.241662;0.002402
58;1545;0.064720;0.066017;0.062359;0.002361
18;6855;0.504837;0.504947;0.504837;0.000000
23;4976;0.288355;0.288344;0.280299;0.008056
105;9482;1.026124;1.026140;1.019917;0.006207
31;1840;0.066566;0.066583;0.064502;0.002064
56;7078;0.552097;0.552157;0.552097;0.000000
61;2715;0.118067;0.118104;0.118067;0.000000
119;7267;0.705295;0.705293;0.703348;0.001947
96;4342;0.276709;0.276847;0.266380;0.010329
35;3849;0.183448;0.183439;0.183448;0.000000
119;6331;0.513516;0.513542;0.513516;0.000000
44;6400;0.461977;0.461979;0.459590;0.002387
108;5718;0.430736;0.430737;0.426733;0.004003
11;218;0.002502;0.002494;0.002502;0.000000
38;9487;0.952954;0.953049;0.952954;0.000000
89;8507;0.772305;0.772368;0.769834;0.002471
72;2532;0.105927;0.105919;0.105927;0.000000
94;7014;0.661786;0.662414;0.661786;0.000000
41;2487;0.098182;0.098209;0.098182;0.000000
13;2214;0.083075;0.083068;0.080527;0.002548
44;5750;0.393082;0.395105;0.389015;0.004067
68;2512;0.106796;0.106809;0.106796;0.000000
53;3971;0.190157;0.190194;0.190157;0.000000
31;4963;0.328660;0.328651;0.328660;0.000000
12;2385;0.101001;0.100995;0.094771;0.006230
46;8232;0.717874;0.717932;0.717874;0.000000
32;2538;0.071043;0.071575;0.071043;0.000000
40;957;0.011744;0.011905;0.009088;0.002656
11;159;0.001999;0.001975;0.000000;0.001999
13;99;0.000214;0.000212;0.000214;0.000000
75;9821;1.145303;1.145308;1.145303;0.000000
75;6222;0.461494;0.461501;0.461494;0.000000
24;2184;0.076354;0.076844;0.076354;0.000000
58;1907;0.051136;0.051142;0.051136;0.000000
36;8366;0.759083;0.761097;0.755102;0.003981
4;22;0.000256;0.000249;0.000256;0.000000
64;5529;0.363243;0.363303;0.363243;0.000000
16;269;0.001758;0.001753;0.001758;0.000000
96;5598;0.401685;0.401721;0.398518;0.003167
105;6558;0.553854;0.553902;0.553854;0.000000
65;5076;0.326546;0.326537;0.322547;0.003999
25;1113;0.017121;0.017119;0.017121;0.000000
66;8957;0.811430;0.816249;0.805064;0.006366
32;864;0.027558;0.027550;0.027558;0.000000
96;8828;0.905736;0.905869;0.905736;0.000000
71;6285;0.488105;0.488533;0.488105;0.000000
93;5933;0.471527;0.471643;0.471527;0.000000
87;9457;1.118967;1.119258;1.118967;0.000000
75;9807;1.079859;1.080062;1.079859;0.000000
132;9214;0.977999;0.978013;0.977999;0.000000
116;8235;0.785285;0.786562;0.778815;0.006470
91;4548;0.257482;0.257490;0.257482;0.000000
68;3526;0.178862;0.178874;0.178862;0.000000
150;6595;0.598481;0.602549;0.598481;0.000000
103;4633;0.293732;0.293731;0.287447;0.006285
122;8460;0.870828;0.870877;0.866827;0.004001
135;8655;0.882886;0.882954;0.876793;0.006093
5;582;0.007081;0.007079;0.007081;0.000000
25;875;0.032236;0.032228;0.030080;0.002156
18;815;0.030020;0.030090;0.030020;0.000000
80;9335;0.966087;0.967396;0.950095;0.015992
77;7171;0.615681;0.615787;0.611674;0.004007
105;7518;0.703030;0.703043;0.699028;0.004002
39;1331;0.049590;0.049788;0.049590;0.000000
35;1921;0.072986;0.073024;0.070538;0.002448
36;632;0.021100;0.021093;0.021100;0.000000
109;7563;0.709431;0.709451;0.705415;0.004016
128;8713;0.941197;0.941233;0.938700;0.002497
108;8186;0.770214;0.770258;0.770214;0.000000
74;7683;0.681709;0.681772;0.679206;0.002503
102;5821;0.446950;0.447406;0.442946;0.004004
